No.,Chinese,Pinyin,English,Japanese,Example,Example_Japanese,Example_English,Long_Example,Long_Example_Japanese
102,编织,biān zhī,"to weave; to knit; to plait; to braid; (fig.) to create (sth abstract, e.g. a dream, a lie etc);",編む,她认真编织毛衣。,彼女は真剣にセーターを編んでいる。,She is knitting a sweater carefully.,她用彩色的丝线编织了一条复杂的民族风围巾，工艺精湛令人赞叹。,彼女はカラフルな糸で複雑な民族風のスカーフを編み上げ、その技術の高さは人々を感嘆させた。
103,边疆,biān jiāng,border area; borderland; frontier; frontier region,辺疆,边疆地区风俗独特。,辺境地域の風俗は独特だ。,The customs in the border areas are unique.,边疆地区的安全形势复杂多变，需要加强军民融合和边防建设。,辺境地域の安全情勢は複雑かつ変化しやすいため、軍民融合と国境防衛の強化が必要である。
104,边界,biān jiè,boundary; border,境界,两国边界线清晰。,両国の国境線ははっきりしている。,The boundary line between the two countries is clear.,两国在边界问题上存在争议，双方通过外交途径寻求和平解决方案。,両国は国境問題に争いがあり、双方は外交手段で平和的な解決策を模索している。
105,边境,biān jìng,frontier; border,国境,边境管控严格执行。,国境管理は厳格に実施されている。,Border control is strictly enforced.,边境的自然环境独特，拥有丰富的生态资源和多样的野生动植物。,国境地帯の自然環境は独特で、豊富な生態資源と多様な野生動植物を有している。
106,边缘,biān yuán,edge; fringe; verge; brink; periphery; marginal; borderline,縁,危机处于边缘。,危機は瀬戸際にある。,The crisis is on the edge.,他站在悬崖的边缘，感受到生命的脆弱和大自然的壮丽。,彼は崖の縁に立ち、生命の儚さと大自然の壮大さを感じ取った。
107,鞭策,biān cè,to spur on; to urge on; to encourage sb (e.g. to make progress),駆り立てる,老师鞭策学生进步。,先生は学生の進歩を鞭撻する。,The teacher urges the students to improve.,老师不断鞭策学生努力学习，激发他们的潜力和创造力。,先生は絶えず生徒を奮起させ、努力して学ぶよう促し、彼らの潜在能力と創造力を引き出した。
108,扁,biǎn,"flat; (old form of character 匾, horizontal tablet with inscription)",平たい,扁平的叶子很新鲜。,平らな葉はとても新鮮だ。,The flat leaves are very fresh.,这本书的封面设计得非常扁平，符合现代简约风格的审美要求。,この本の表紙は非常に平らにデザインされており、現代的なミニマリズムの美的要求に合致している。
109,贬低,biǎn dī,to belittle; to disparage; to play down; to demean; to degrade; to devalue,貶める,不应贬低他人努力。,他人の努力を貶めるべきではない。,One should not belittle others' efforts.,他总喜欢贬低别人的努力，以此来掩饰自己的不自信。,彼はいつも他人の努力をけなして、自分の自信のなさを隠そうとしている。
110,贬义,biǎn yì,derogatory sense; negative connotation,否定的意味,词语含有贬义色彩。,言葉には否定的な意味合いが含まれている。,The words contain a derogatory connotation.,某些词语带有贬义色彩，使用时需注意避免冒犯他人。,ある言葉は蔑称的な意味合いを含むため、使う際には他人を傷つけないよう注意が必要である。
111,便利,biàn lì,convenient; easy; facilitate,便利,现代科技生活便利。,現代の科学技術は生活を便利にする。,Modern technology makes life convenient.,现代科技的发展极大地便利了人们的生活和工作方式。,現代の科学技術の発展は人々の生活や働き方を大いに便利にした。
112,便条,biàn tiáo,"(informal) note; CL:张[zhang1] ,个",メモ,桌上放着便条纸。,机の上にメモ用紙が置いてある。,There are sticky notes on the desk.,她在便条上写下了今天开会的时间和地点，提醒同事准时参加。,彼女はメモに今日の会議の時間と場所を書き留め、同僚に時間通り参加するよう知らせた。
113,便于,biàn yú,easy to; convenient for,〜に便利,新软件便于操作。,新しいソフトは操作が簡単だ。,The new software is easy to operate.,安装智能设备便于远程监控和管理，提高了工作效率。,スマートデバイスの設置は遠隔監視と管理を容易にし、作業効率を向上させた。
114,变故,biàn gù,an unforeseen event; accident; misfortune,変事,意外变故令人震惊。,思いがけない変故に人々は驚いた。,The unexpected incident shocked people.,家族突然遭遇变故，生活陷入困境，但他们依然坚强面对。,家族は突然の変故に遭い、生活が困難に陥ったが、それでも強く立ち向かった。
115,变迁,biàn qiān,changes; vicissitudes,変遷,历史变迁见证时代。,歴史の変遷は時代を証明する。,Historical changes witness the era.,社会的变迁带来了价值观的转变，也促进了文化的多元发展。,社会の変遷は価値観の変化をもたらし、文化の多元的発展も促進した。
116,变质,biàn zhì,to degenerate; to go bad; to deteriorate; metamorphosis,変質,食品长时间会变质。,食品は長時間経つと変質する。,Food deteriorates after a long time.,食品如果储存不当，容易变质，影响健康和口感。,食品は保存状態が悪いと変質しやすく、健康や味に影響を及ぼす。
117,辨认,biàn rèn,to recognize; to identify,識別,他能辨认复杂图案。,彼は複雑な模様を識別できる。,He can recognize complex patterns.,警方通过指纹辨认成功锁定了犯罪嫌疑人的身份。,警察は指紋認証により犯罪容疑者の身元を特定することに成功した。
118,辩护,biàn hù,to speak in defense of; to argue in favor of; to defend; to plead,弁護,律师为当事人辩护。,弁護士は依頼人のために弁護する。,The lawyer defends the client.,律师在法庭上为被告辩护，提出有力的证据和论点。,弁護士は法廷で被告人の弁護を行い、有力な証拠と論点を提示した。
119,辩解,biàn jiě,to explain; to justify; to defend (a point of view etc); to provide an explanation; to try to defend oneself,言い訳,他试图辩解失误。,彼はミスを弁解しようとした。,He tried to justify his mistake.,面对质疑，他试图辩解自己的行为，但效果并不理想。,疑問に直面して、彼は自分の行動を弁解しようとしたが、効果はあまり良くなかった。
120,辩证,biàn zhèng,to investigate; dialectical,弁証,辩证思维促进理解。,弁証的思考は理解を促進する。,Dialectical thinking promotes understanding.,辩证地看待问题，有助于我们全面理解复杂的社会现象。,弁証法的に問題を見ることで、複雑な社会現象を全方位的に理解するのに役立つ。
121,辫子,biàn zi,"plait; braid; pigtail; a mistake or shortcoming that may be exploited by an opponent; handle; CL:根[gen1] ,条[tiao2]",三つ編み,她扎了漂亮辫子。,彼女はきれいな三つ編みをした。,She braided a beautiful plait.,小女孩扎着两条整齐的辫子，看起来活泼可爱。,小さな女の子は二つのきちんとした三つ編みを結っており、元気でかわいらしく見える。
122,遍布,biàn bù,to cover the whole (area); to be found throughout,遍在,病毒遍布全球各地。,ウイルスは世界中に広がっている。,The virus is spread all over the world.,这座城市的街道遍布各种风格的咖啡馆，吸引了大量游客。,この街の通りには様々なスタイルのカフェが至る所にあり、多くの観光客を引きつけている。
123,标本,biāo běn,specimen; sample; the root cause and symptoms of a disease,標本,科学家采集标本。,科学者は標本を採集する。,Scientists collect specimens.,博物馆收藏了许多珍贵的标本，展示了丰富的自然历史知识。,博物館は多くの貴重な標本を収蔵し、豊かな自然史の知識を展示している。
124,标记,biāo jì,sign; mark; symbol; to mark up,印,地图上标记重要点。,地図に重要な地点が記されている。,Important points are marked on the map.,地图上用红色标记了重点旅游景点，方便游客规划行程。,地図上には赤い印が付けられており、主要な観光スポットが示されていて、観光客の計画作りに便利である。
